Station,Index,Dwell_time,Runtime,Is_transfer_station,Connected_depot
XZM,0,30,120,1,
CGZ,1,30,120,,
FCM,2,30,180,,
FXM,3,30,120,1,
CCJ,4,30,120,,
XWM,5,30,120,,
HPM,6,30,120,,
QM,7,30,180,,
CWM,8,30,180,1,
BJZ,9,30,120,,
JGM,10,30,180,1,
CYM,11,30,120,,
DSST,12,30,120,,
DZM,13,30,180,1,
YHG,14,30,120,1,
ADM,15,30,180,,
GLDJ,16,30,120,,
JST,17,30,180,,2
XZM,0,30,,1,
