Station,Index,Dwell_time,Runtime,Is_transfer_station,Connected_depot
SJZ,0,30,120,1,4
LJY,1,30,120,,
PHY,2,30,180,,
TTDM,3,30,120,,
CQK,4,30,120,,
CWM,5,30,120,1,
DDAN,6,30,120,1,
DSK,7,30,120,,
DS,8,30,120,,
ZL,9,30,120,,
BXQ,10,30,120,,
YHG,11,30,120,1,
HPLBJ,12,30,120,,
HPXQ,13,30,180,,
HXXJNK,14,30,120,1,
HXXJBK,15,30,120,,
DTLD,16,30,240,,
BYLB,17,30,120,,
LSQN,18,30,180,,
LSQ,19,30,180,1,
TTYN,20,30,120,,
TTY,21,30,120,,
TTYB,22,30,,,3
