Station,Index,Dwell_time,Runtime,Is_transfer_station,Connected_depot
GC,0,30,180,,0
BJYLY,1,30,180,,
BBS,2,30,120,,
YQL,3,30,180,,
WKS,4,30,180,,
WSL,5,30,180,,
GZF,6,30,120,1,
JSBWG,7,30,120,1,
MXD,8,30,180,,
NLSL,9,30,120,,
FXM,10,30,180,1,
XD,11,30,120,,
TAMX,12,30,120,,
TAMD,13,30,120,,
WFJ,14,30,120,,
DDAN,15,30,120,1,
JGM,16,30,180,1,
YAL,17,30,120,,
GM,18,30,180,1,
DWL,19,30,180,,
SH,20,30,180,1,1
SHD,21,30,,1,
