Station,Index,Dwell_time,Runtime,Is_transfer_station,Connected_depot
XZM,0,30,240,1,
DZS,1,30,180,,
ZCLU,2,30,180,1,
WDK,3,30,300,,
SD,4,30,180,,
QHZ,5,30,120,,
XEQ,6,30,300,,
LZ,7,30,180,,
HLG,8,30,180,,7
HUOY,9,30,300,,
LSQ,10,30,240,1,
BY,11,30,180,,
WJX,12,30,180,,
SYJ,13,30,180,1,
GXM,14,30,120,,
LF,15,30,180,,
DZM,16,30,,1,
