Station,Index,Dwell_time,Runtime,Is_transfer_station,Connected_depot
YCD,0,30,180,,12
SZ,1,30,120,,
LXNG,2,30,180,,
LXDXCX,3,30,120,,
LXDXC,4,30,180,,
LXDXCB,5,30,180,,
GYC,6,30,120,,
LBF,7,30,180,,
CY,8,30,240,,
DT,9,30,240,,
DBT,10,30,180,,
GGZ,11,30,,1,11
